nation             birth_rate pci     pop  mortality_rate
Venezuela            46.4     392    0.40    68.5
Mexico               45.7     118    0.61    87.8
Ecuador              45.3      44    0.53   115.8
Colombia             38.6     158    0.53   106.8
Ceylon               37.2      81    0.53    71.6
PuertoRico           35.0     374    0.37    60.2
Chile                34.0     187    0.30   118.7
Canada               28.3     993    0.19    33.7
UnitedStates         24.7    1723    0.12    27.2
Argentina            24.7     287    0.20    62.0
NewZealand           24.4     970    0.19    24.9
Australia            22.7     885    0.12    22.9
Hungary              22.3     200    0.53    65.7
Netherlands          21.7     575    0.14    21.6
Finland              21.6     688    0.34    32.4
Phillipines          21.3      48    0.69   108.7
Ireland              21.2     572    0.49    38.6
Japan                20.8     239    0.42    46.7
Spain                20.3     244    0.48    56.5
France               18.9     472    0.25    44.4
Greece               18.8     134    0.52    47.4
Norway               18.6     633    0.19    21.7
Italy                18.0     295    0.44    55.7
Denmark              17.6     906    0.24    27.1
Switzerland          17.0    1045    0.16    28.5
Belgium              16.7     775    0.10    41.6
England              15.3     901    0.05    26.1
Sweden               15.0     910    0.24    18.7
Austria              14.8     556    0.22    49.1
