"name" "line" "age" "tonnage" "passengers" "length" "cabin" "passenger_density" "crew"
"1" "Journey" "Azamara" 6 30.277 6.94 5.94 3.55 42.64 3.55
"2" "Quest" "Azamara" 6 30.277 6.94 5.94 3.55 42.64 3.55
"3" "Celebration" "Carnival" 26 47.262 14.86 7.22 7.43 31.8 6.7
"4" "Conquest" "Carnival" 11 110 29.74 9.53 14.88 36.99 19.1
"5" "Destiny" "Carnival" 17 101.353 26.42 8.92 13.21 38.36 10
"6" "Ecstasy" "Carnival" 22 70.367 20.52 8.55 10.2 34.29 9.2
"7" "Elation" "Carnival" 15 70.367 20.52 8.55 10.2 34.29 9.2
"8" "Fantasy" "Carnival" 23 70.367 20.56 8.55 10.22 34.23 9.2
"9" "Fascination" "Carnival" 19 70.367 20.52 8.55 10.2 34.29 9.2
"10" "Freedom" "Carnival" 6 110.239 37 9.51 14.87 29.79 11.5
"11" "Glory" "Carnival" 10 110 29.74 9.51 14.87 36.99 11.6
"12" "Holiday" "Carnival" 28 46.052 14.52 7.27 7.26 31.72 6.6
"13" "Imagination" "Carnival" 18 70.367 20.52 8.55 10.2 34.29 9.2
"14" "Inspiration" "Carnival" 17 70.367 20.52 8.55 10.2 34.29 9.2
"15" "Legend" "Carnival" 11 86 21.24 9.63 10.62 40.49 9.3
"16" "Liberty*" "Carnival" 8 110 29.74 9.51 14.87 36.99 11.6
"17" "Miracle" "Carnival" 9 88.5 21.24 9.63 10.62 41.67 10.3
"18" "Paradise" "Carnival" 15 70.367 20.52 8.55 10.2 34.29 9.2
"19" "Pride" "Carnival" 12 88.5 21.24 9.63 11.62 41.67 9.3
"20" "Sensation" "Carnival" 20 70.367 20.52 8.55 10.2 34.29 9.2
"21" "Spirit" "Carnival" 12 88.5 21.24 9.63 10.56 41.67 10.29
"22" "Triumph" "Carnival" 14 101.509 27.58 8.93 13.21 36.81 10
"23" "Valor" "Carnival" 9 110 29.74 9.52 14.87 36.99 11.6
"24" "Victory" "Carnival" 13 101.509 27.58 8.93 13.79 36.81 11.5
"25" "Century" "Celebrity" 18 70.606 17.7 8.15 8.75 39.89 8.58
"26" "Constellation" "Celebrity" 11 91 20.32 9.65 9.75 44.78 9.99
"27" "Galaxy" "Celebrity" 17 77.713 18.9 8.66 9.35 41.12 9.09
"28" "Infinity" "Celebrity" 12 91 20.32 9.65 9.75 44.78 9.99
"29" "Mercury" "Celebrity" 16 77.713 18.82 8.66 9.35 41.29 9.09
"30" "Millenium" "Celebrity" 13 91 20.32 9.65 9.75 44.78 9.99
"31" "Solstice" "Celebrity" 5 122 28.5 10.33 6.87 34.57 6.7
"32" "Summit" "Celebrity" 12 91 20.32 9.65 9.75 44.78 9.99
"33" "Xpedition" "Celebrity" 12 2.329 0.94 2.96 0.45 24.78 0.6
"34" "Zenith" "Celebrity" 21 47.225 13.66 6.82 6.87 34.57 6.7
"35" "Allegra" "Costa" 21 28.43 8.08 6.16 4.1 35.19 4
"36" "Atlantica" "Costa" 13 85.619 21.14 9.57 10.56 40.5 9.2
"37" "Classica" "Costa" 22 52.926 13.02 7.18 6.54 40.65 6.17
"38" "Europa" "Costa" 27 53.872 14.94 7.98 7.67 36.06 6.36
"39" "Fortuna" "Costa" 10 105 27.2 8.9 13.56 38.6 10.68
"40" "Magica" "Costa" 9 105 27.2 8.9 13.56 38.6 10.68
"41" "Marina" "Costa" 23 25 7.76 6.22 3.86 32.22 3.85
"42" "Mediterranea" "Costa" 10 86 21.14 9.6 10.56 40.68 9.2
"43" "Romantica" "Costa" 20 53.049 13.44 7.22 6.78 39.47 6
"44" "Serena" "Costa" 6 112 38 9.51 15 29.47 10.9
"45" "Victoria" "Costa" 17 75.166 19.28 8.28 9.64 38.99 7.66
"46" "Serenity" "Crystal" 10 68 10.8 7.9 5.5 62.96 6.36
"47" "Symphony" "Crystal" 18 51.004 9.4 7.81 4.8 54.26 5.45
"48" "Queen_Elizabeth_II" "Cunard" 44 70.327 17.91 9.63 9.5 39.27 9.21
"49" "Queen_Mary_2" "Cunard" 10 151.4 26.2 11.32 11.34 57.79 12.53
